index,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
131,6.8,45,1,1,1,1,245,high
999,8.6,55,0,1,1,1,255,low
232,6.8,36,0,1,1,0,253,high
433,6.8,45,0,0,0,1,255,medium
386,6.8,45,0,1,1,1,255,high
120,6.6,45,0,0,0,1,250,medium
950,6.8,36,0,1,1,0,253,high
296,8.6,55,0,1,0,0,255,low
978,3.0,40,1,1,1,1,255,low
28,6.5,37,0,0,0,0,245,medium
979,9.0,43,1,0,1,1,250,low
806,6.5,35,1,0,1,0,246,medium
226,6.8,40,1,0,1,0,245,medium
547,6.5,40,1,0,0,0,250,medium
566,6.8,36,0,1,1,0,253,high
235,6.5,37,0,0,0,0,245,medium
735,5.6,50,0,1,1,1,255,low
150,9.5,34,1,1,0,1,255,low
521,6.7,45,1,1,0,0,247,medium
700,7.4,65,0,0,0,0,255,low
82,6.8,45,0,1,0,0,240,medium
461,6.6,37,1,1,1,1,255,high
986,6.8,36,0,1,1,0,253,high
809,6.8,34,0,0,0,1,240,medium
0,6.6,35,1,0,1,0,254,high
968,8.1,66,1,0,1,1,255,low
964,3.0,40,1,1,1,1,255,low
326,6.8,45,0,1,1,1,255,high
1029,6.8,45,0,1,0,0,240,medium
374,3.0,40,1,1,1,1,255,low
418,6.6,37,1,1,1,1,255,high
24,6.8,35,1,0,1,0,246,medium
379,6.5,38,1,0,0,0,255,medium
64,8.6,55,0,1,1,1,255,low
1010,6.8,40,1,0,1,0,245,medium
291,6.8,50,0,0,1,0,255,low
517,6.6,37,1,1,1,1,255,high
956,7.4,65,0,0,0,0,255,low
904,4.7,38,1,0,1,0,255,low
371,9.0,43,1,1,1,1,248,low
97,6.5,37,0,0,0,0,255,medium
780,6.6,37,1,1,1,1,255,high
784,6.7,45,1,1,0,0,247,medium
206,5.5,45,1,0,1,1,250,low
718,6.6,45,0,0,0,1,250,medium
997,3.0,40,1,1,1,1,255,low
625,5.5,45,1,0,1,1,250,low
624,6.6,37,1,1,1,1,255,high
899,6.6,43,0,0,1,0,250,medium
230,6.8,45,1,1,1,1,245,high
300,6.8,38,0,0,0,0,255,medium
450,4.5,38,0,1,1,1,255,low
43,6.8,40,1,1,1,1,255,high
113,6.8,45,0,0,0,1,255,medium
99,5.5,45,1,0,1,1,250,low
91,6.5,36,0,0,0,0,247,medium
78,8.5,70,0,0,0,0,246,low
688,6.8,40,1,0,1,0,245,medium
542,6.8,45,1,1,1,0,245,high
815,6.5,38,1,1,1,1,255,high
431,6.6,43,1,0,1,1,250,high
195,9.0,43,1,0,1,1,250,low
870,6.6,37,1,1,1,1,255,high
160,5.6,50,0,1,1,1,255,low
585,3.0,40,1,0,0,0,255,low
460,6.5,37,0,0,0,0,255,medium
392,6.6,45,0,1,1,1,250,high
720,6.8,45,0,1,1,1,255,high
485,6.6,38,0,0,1,0,255,medium
265,6.5,36,0,0,1,0,255,medium
606,6.5,38,1,0,1,0,255,medium
256,6.6,45,0,0,0,1,250,medium
963,6.7,38,1,0,1,0,255,high
4,6.6,37,0,0,0,0,255,medium
883,6.6,40,1,1,1,1,255,high
444,6.5,55,1,0,1,0,246,low
1043,6.8,40,1,1,1,1,255,high
724,9.0,43,1,0,1,1,250,low
69,3.0,40,1,1,1,1,255,low
213,7.4,90,1,0,1,1,255,low
913,6.7,45,1,1,0,0,247,medium
825,6.8,45,0,1,1,1,255,high
394,4.5,38,0,1,1,1,255,low
202,9.0,43,1,0,1,1,250,low
293,6.7,41,1,0,0,0,247,medium
1018,6.8,40,1,0,1,0,245,medium
653,6.5,38,1,1,1,1,255,high
928,6.6,45,0,0,0,1,250,medium
598,4.5,60,0,1,1,1,250,low
773,6.8,45,0,1,1,1,255,high
600,6.7,45,1,1,0,0,247,medium
519,4.5,60,0,1,1,1,250,low
430,3.0,40,1,1,1,1,255,low
898,3.0,40,1,1,1,1,255,low
50,6.6,37,1,1,1,1,255,high
959,6.6,38,0,0,0,0,255,medium
198,6.8,45,0,1,1,1,255,high
799,3.0,40,1,1,1,1,255,low
936,4.5,60,0,1,1,1,250,low
86,6.6,38,0,0,0,0,255,medium
663,3.0,40,1,1,1,1,255,low
372,6.5,38,1,0,1,0,255,medium
378,6.8,45,0,1,1,1,255,high
340,8.6,55,0,1,1,1,255,low
408,9.0,43,1,1,1,1,248,low
763,5.6,50,0,1,1,1,255,low
662,4.7,38,1,0,1,0,255,low
732,8.1,66,1,0,1,1,255,low
581,6.6,43,1,0,1,1,250,high
814,6.8,41,0,0,1,0,255,medium
406,6.6,38,0,0,0,0,255,medium
837,9.0,43,1,0,1,1,250,low
1044,6.6,50,0,0,0,1,250,low
854,3.0,40,1,0,0,0,255,low
686,3.0,40,1,1,1,1,255,low
652,6.8,41,0,0,1,0,255,medium
474,6.6,43,1,0,1,1,250,high
1011,6.6,45,0,1,1,1,250,high
887,6.5,36,0,0,1,0,255,medium
183,5.5,45,1,0,1,1,250,low
830,6.8,40,1,0,1,0,245,medium
669,4.5,60,0,1,1,1,250,low
381,3.0,40,1,1,1,1,255,low
289,6.6,35,0,1,1,1,255,high
491,6.6,45,0,1,1,1,250,high
341,7.4,90,1,0,1,1,255,low
1015,4.7,38,1,0,1,0,255,low
126,8.5,70,0,0,0,0,246,low
317,8.6,55,0,1,1,1,255,low
295,6.8,45,0,1,1,1,255,high
623,6.5,37,0,0,0,0,255,medium
555,6.8,45,0,1,1,1,255,high
767,6.5,38,1,0,1,0,255,medium
738,6.8,50,0,0,1,0,255,low
30,6.4,45,0,1,0,0,240,medium
511,6.6,50,0,0,0,0,255,low
876,3.0,40,1,1,1,1,255,low
751,6.6,45,0,0,0,1,250,medium
56,5.6,50,0,1,1,1,255,low
822,6.6,43,1,0,1,1,250,high
409,6.8,40,1,1,1,1,255,high
768,6.7,38,1,0,1,0,255,high
1058,8.6,55,0,1,1,1,255,low
795,6.8,45,0,0,0,1,255,medium
321,6.7,38,1,0,1,0,255,high
962,6.5,38,1,0,1,0,255,medium
449,6.5,36,0,0,1,0,255,medium
453,6.8,36,0,1,1,0,253,high
644,6.5,50,1,0,1,0,246,low
762,6.7,45,1,1,1,0,245,medium
630,3.0,40,1,1,1,1,255,low
548,8.1,66,1,0,1,1,255,low
1042,9.0,43,1,1,1,1,248,low
958,6.5,38,1,1,1,1,255,high
985,6.5,45,1,0,0,0,246,medium
316,5.6,50,0,1,1,1,255,low
730,5.5,45,1,0,1,1,250,low
788,7.4,90,1,0,1,1,255,low
1002,6.5,38,1,0,0,0,255,medium
975,6.8,45,0,1,1,1,255,high
227,6.6,45,0,1,1,1,250,high
648,6.5,37,0,0,0,0,245,medium
283,5.5,45,1,0,1,1,250,low
947,4.5,38,0,1,1,1,255,low
434,6.8,45,0,1,1,1,255,high
808,8.5,70,0,0,0,0,246,low
330,9.0,43,1,0,1,1,250,low
416,9.5,34,1,1,0,1,255,low
589,6.5,36,0,0,0,0,247,medium
760,8.1,66,1,0,1,1,255,low
151,6.5,37,0,0,0,0,255,medium
889,6.8,45,1,1,1,1,245,high
620,6.6,38,0,0,0,0,255,medium
699,6.8,45,0,1,0,0,240,medium
98,6.6,37,1,1,1,1,255,high
599,8.1,66,1,0,1,1,255,low
911,6.5,40,0,0,1,0,250,medium
490,6.8,40,1,0,1,0,245,medium
508,6.8,40,1,1,1,1,255,high
17,3.0,40,1,1,1,1,255,low
495,6.5,35,1,0,1,0,246,medium
428,6.5,38,1,0,1,0,255,medium
331,6.8,40,1,0,1,0,245,medium
2,8.5,70,1,1,1,1,246,low
636,4.7,38,1,0,1,0,255,low
407,3.0,40,1,0,0,0,255,low
106,7.4,90,1,0,1,1,255,low
736,6.6,35,0,1,1,1,255,high
102,6.7,45,1,1,0,0,247,medium
157,8.1,66,1,0,1,1,255,low
671,6.7,45,1,1,0,0,247,medium
908,6.5,37,0,0,0,0,255,medium
582,6.8,41,0,0,1,0,255,medium
597,5.5,45,1,0,1,1,250,low
786,5.6,50,0,1,1,1,255,low
240,6.5,38,1,1,1,1,255,high
142,6.6,38,0,0,0,0,255,medium
836,3.0,40,1,1,1,1,255,low
40,6.8,38,0,0,0,0,255,medium
596,6.6,37,1,1,1,1,255,high
802,6.6,45,0,1,1,1,250,high
351,4.7,38,1,0,1,0,255,low
664,9.0,43,1,0,1,1,250,low
670,8.1,66,1,0,1,1,255,low
570,6.6,37,1,0,1,0,255,high
419,5.5,45,1,0,1,1,250,low
615,3.0,40,1,0,0,0,255,low
551,3.0,40,1,1,1,1,255,low
672,6.7,45,1,1,1,0,245,medium
1040,6.8,45,1,1,1,0,245,high
579,6.7,38,1,0,1,0,255,high
100,4.5,60,0,1,1,1,250,low
744,7.4,65,0,0,0,0,255,low
162,7.4,90,1,0,1,1,255,low
965,6.6,43,1,0,1,1,250,high
182,6.6,37,1,1,1,1,255,high
165,6.7,41,1,0,0,0,247,medium
200,4.7,38,1,0,1,0,255,low
1013,6.8,45,0,1,1,1,255,high
617,6.8,40,1,1,1,1,255,high
970,6.7,38,1,0,1,0,255,high
983,4.5,38,0,1,1,1,255,low
188,5.6,50,0,1,1,1,255,low
716,9.0,43,1,0,1,1,250,low
483,6.6,45,0,0,0,1,250,medium
507,9.0,43,1,1,1,1,248,low
89,6.8,40,1,1,1,1,255,high
324,8.6,55,0,1,1,1,255,low
826,6.5,38,1,0,0,0,255,medium
179,6.8,45,1,1,1,0,245,high
294,6.7,50,1,1,1,0,245,low
867,6.8,45,1,1,1,0,245,high
549,6.7,45,1,1,0,0,247,medium
288,5.6,50,0,1,1,1,255,low
743,8.6,55,0,1,0,0,255,low
801,6.8,40,1,0,1,0,245,medium
9,6.7,45,1,1,0,0,247,medium
14,6.8,45,0,1,1,1,255,high
539,6.6,50,0,0,0,1,250,low
447,6.8,40,1,0,1,0,245,medium
156,4.5,60,0,1,1,1,250,low
641,6.5,36,0,0,1,0,255,medium
949,6.5,35,1,0,1,0,246,medium
312,4.5,60,0,1,1,1,250,low
258,6.6,38,0,0,1,0,255,medium
310,6.6,37,1,1,1,1,255,high
22,4.5,38,0,1,1,1,255,low
749,9.0,43,1,1,1,1,248,low
47,6.8,45,1,1,1,0,245,high
902,6.8,45,0,1,1,1,255,high
627,8.1,66,1,0,1,1,255,low
278,9.5,34,1,1,0,1,255,low
755,9.5,34,1,1,0,1,255,low
146,6.6,50,0,0,0,1,250,low
318,7.4,90,1,0,1,1,255,low
885,6.8,40,1,0,1,0,245,medium
1004,3.0,40,1,1,1,1,255,low
1003,4.7,38,1,0,1,0,255,low
727,6.5,36,0,0,1,0,255,medium
363,6.5,37,0,0,0,0,245,medium
937,8.1,66,1,0,1,1,255,low
706,6.5,38,1,0,1,0,255,medium
420,4.5,60,0,1,1,1,250,low
827,6.6,38,1,0,1,0,255,high
365,6.8,45,0,1,0,0,240,medium
841,4.5,38,0,1,1,1,255,low
475,8.6,55,0,1,1,1,255,low
369,6.6,38,0,0,0,0,255,medium
34,6.7,50,1,1,1,0,245,low
426,7.4,90,1,0,1,1,255,low
85,6.5,38,1,1,1,1,255,high
27,6.6,34,0,0,0,1,240,medium
679,3.0,40,1,1,1,1,255,low
51,5.5,45,1,0,1,1,250,low
533,6.8,41,0,0,0,0,255,medium
432,8.6,55,0,1,1,1,255,low
309,6.5,37,0,0,0,0,255,medium
711,6.8,45,0,0,0,1,255,medium
6,5.5,45,1,0,1,1,250,low
442,6.6,38,0,0,1,0,255,medium
678,6.7,38,1,0,1,0,255,high
1033,6.6,38,0,0,0,0,255,medium
403,7.4,65,0,0,0,0,255,low
981,6.6,45,0,1,1,1,250,high
953,6.5,37,0,0,0,0,245,medium
334,5.5,45,1,0,1,1,250,low
176,6.6,45,0,0,0,1,250,medium
577,9.0,43,1,1,1,1,248,low
37,7.4,65,0,0,0,0,255,low
942,6.6,45,1,0,0,1,255,medium
823,8.6,55,0,1,1,1,255,low
480,3.0,40,1,1,1,1,255,low
184,4.5,60,0,1,1,1,250,low
376,8.6,55,0,1,1,1,255,low
880,6.8,45,0,1,1,1,255,high
938,6.7,45,1,1,0,0,247,medium
87,3.0,40,1,0,0,0,255,low
194,3.0,40,1,1,1,1,255,low
325,6.8,45,0,0,0,1,255,medium
171,6.5,38,1,1,1,1,255,high
463,4.5,60,0,1,1,1,250,low
862,9.0,43,1,1,1,1,248,low
402,6.8,45,0,1,0,0,240,medium
594,9.5,34,1,1,0,1,255,low
832,6.5,36,0,0,1,0,255,medium
451,6.8,45,1,1,1,1,245,high
65,6.8,45,0,0,0,1,255,medium
436,6.6,38,1,0,1,0,255,high
388,4.7,38,1,0,1,0,255,low
190,7.4,90,1,0,1,1,255,low
844,6.8,36,0,1,1,0,253,high
665,6.8,40,1,0,1,0,245,medium
616,9.0,43,1,1,1,1,248,low
48,9.5,34,1,1,0,1,255,low
909,6.6,37,1,1,1,1,255,high
982,6.5,36,0,0,1,0,255,medium
857,6.6,50,0,0,0,1,250,low
613,6.5,38,1,1,1,1,255,high
545,6.6,37,1,1,1,1,255,high
297,7.4,65,0,0,0,0,255,low
390,9.0,43,1,0,1,1,250,low
682,6.8,45,0,0,0,1,255,medium
673,5.6,50,0,1,1,1,255,low
343,6.5,38,1,0,1,0,255,medium
667,6.6,37,1,1,1,1,255,high
638,9.0,43,1,0,1,1,250,low
239,6.8,41,0,0,1,0,255,medium
280,9.5,34,1,1,0,1,255,low
498,6.8,34,0,0,0,1,240,medium
140,6.8,41,0,0,1,0,255,medium
848,6.6,37,1,0,1,0,255,high
856,6.8,40,1,1,1,1,255,high
412,6.6,50,0,0,0,0,255,low
123,6.8,45,1,1,1,1,245,high
578,6.5,38,1,0,1,0,255,medium
583,6.5,38,1,1,1,1,255,high
216,6.7,38,1,0,1,0,255,high
807,6.8,36,0,1,1,0,253,high
1020,6.5,36,0,0,1,0,255,medium
415,6.5,37,0,0,0,0,255,medium
871,5.5,45,1,0,1,1,250,low
771,8.6,55,0,1,1,1,255,low
510,6.5,36,0,0,0,0,247,medium
158,6.7,45,1,1,0,0,247,medium
60,6.5,38,1,0,1,0,255,medium
128,6.6,45,0,1,1,1,250,high
813,7.4,65,0,0,0,0,255,low
138,6.8,45,0,1,0,0,240,medium
642,4.5,38,0,1,1,1,255,low
633,6.8,55,0,0,0,1,255,low
494,6.8,45,1,1,1,1,245,high
169,7.4,65,0,0,0,0,255,low
593,6.5,37,0,0,0,0,255,medium
573,6.8,41,0,0,1,0,255,medium
275,6.5,36,0,0,0,0,247,medium
79,6.8,34,0,0,0,1,240,medium
654,6.6,38,0,0,0,0,255,medium
764,8.6,55,0,1,1,1,255,low
783,8.1,66,1,0,1,1,255,low
855,9.0,43,1,1,1,1,248,low
912,8.1,66,1,0,1,1,255,low
207,4.5,60,0,1,1,1,250,low
839,6.6,45,0,1,1,1,250,high
211,5.6,50,0,1,1,1,255,low
531,6.6,45,0,1,0,0,255,medium
328,4.7,38,1,0,1,0,255,low
10,6.7,45,1,1,1,0,245,medium
458,6.5,37,0,0,0,0,255,medium
164,6.5,38,1,0,1,0,255,medium
1051,5.5,45,1,0,1,1,250,low
315,6.7,45,1,1,1,0,245,medium
3,9.5,34,1,1,0,1,255,low
32,6.8,42,1,1,1,1,255,high
721,6.5,38,1,0,0,0,255,medium
396,6.5,35,1,0,1,0,246,medium
267,6.8,45,1,1,1,1,245,high
698,6.6,37,1,0,1,0,255,high
1022,6.8,45,1,1,1,1,245,high
236,6.6,37,1,0,1,0,255,high
927,6.8,40,1,1,1,1,255,high
147,6.5,36,0,0,0,0,247,medium
479,6.6,38,1,0,1,0,255,high
11,5.6,50,0,1,1,1,255,low
90,6.6,50,0,0,0,1,250,low
610,6.6,45,0,1,0,0,255,medium
33,6.7,41,1,0,0,0,247,medium
1038,6.5,36,0,0,0,0,247,medium
725,6.8,40,1,0,1,0,245,medium
122,6.6,38,0,0,1,0,255,medium
710,8.6,55,0,1,1,1,255,low
770,9.0,43,1,0,1,1,250,low
701,6.8,41,0,0,1,0,255,medium
639,6.8,40,1,0,1,0,245,medium
12,8.6,55,0,1,1,1,255,low
509,6.6,50,0,0,0,1,250,low
49,6.5,37,0,0,0,0,255,medium
685,4.7,38,1,0,1,0,255,low
344,6.7,38,1,0,1,0,255,high
558,3.0,40,1,1,1,1,255,low
163,6.8,50,0,0,1,0,255,low
557,4.7,38,1,0,1,0,255,low
590,6.6,50,0,0,0,0,255,low
640,6.6,45,0,1,1,1,250,high
366,7.4,65,0,0,0,0,255,low
489,8.5,70,0,0,0,0,246,low
892,6.8,45,0,1,0,0,240,medium
621,6.8,45,1,1,1,0,245,high
103,6.7,45,1,1,1,0,245,medium
57,8.6,55,0,1,1,1,255,low
723,3.0,40,1,1,1,1,255,low
279,6.5,37,0,0,0,0,255,medium
277,6.8,45,1,1,1,0,245,high
995,6.6,38,0,0,0,0,255,medium
931,6.8,45,1,1,1,0,245,high
135,6.8,34,0,0,0,1,240,medium
933,6.5,37,0,0,0,0,255,medium
144,9.0,43,1,1,1,1,248,low
464,8.1,66,1,0,1,1,255,low
879,6.8,55,0,0,0,1,255,low
608,6.7,50,1,1,1,0,245,low
750,6.8,40,1,1,1,1,255,high
53,8.1,66,1,0,1,1,255,low
835,4.7,38,1,0,1,0,255,low
114,6.8,45,0,1,1,1,255,high
15,6.5,38,1,0,0,0,255,medium
503,6.8,41,0,0,1,0,255,medium
107,6.8,50,0,0,1,0,255,low
168,8.6,55,0,1,0,0,255,low
174,9.0,43,1,1,1,1,248,low
752,6.5,36,0,0,0,0,247,medium
1056,3.0,40,1,1,1,1,255,low
740,6.7,41,1,0,0,0,247,medium
945,6.6,45,0,1,1,1,250,high
81,6.6,37,1,0,1,0,255,high
250,6.8,45,0,1,1,1,255,high
45,6.5,36,0,0,0,0,247,medium
333,6.6,37,1,1,1,1,255,high
739,6.5,38,1,0,1,0,255,medium
70,9.0,43,1,0,1,1,250,low
217,3.0,40,1,1,1,1,255,low
741,6.7,50,1,1,1,0,245,low
934,6.6,37,1,1,1,1,255,high
779,6.5,37,0,0,0,0,255,medium
1021,4.5,38,0,1,1,1,255,low
969,6.7,45,1,1,0,0,247,medium
339,5.6,50,0,1,1,1,255,low
320,6.5,38,1,0,1,0,255,medium
850,7.4,65,0,0,0,0,255,low
591,6.8,45,1,1,1,0,245,high
829,9.0,43,1,0,1,1,250,low
143,3.0,40,1,0,0,0,255,low
568,6.8,34,0,0,0,1,240,medium
482,6.8,40,1,0,1,0,245,medium
228,6.5,36,0,0,1,0,255,medium
1026,6.8,34,0,0,0,1,240,medium
878,8.6,55,0,1,1,1,255,low
843,6.5,35,1,0,1,0,246,medium
629,6.7,38,1,0,1,0,255,high
438,9.0,43,1,0,1,1,250,low
1009,9.0,43,1,0,1,1,250,low
1030,7.4,65,0,0,0,0,255,low
205,6.6,37,1,1,1,1,255,high
920,8.6,55,0,1,0,0,255,low
139,7.4,65,0,0,0,0,255,low
472,6.7,38,1,0,1,0,255,high
354,6.8,40,1,0,1,0,245,medium
601,6.7,45,1,1,1,0,245,medium
858,6.5,36,0,0,0,0,247,medium
991,6.8,45,0,1,0,0,240,medium
846,6.8,34,0,0,0,1,240,medium
1005,9.0,43,1,0,1,1,250,low
166,6.7,50,1,1,1,0,245,low
900,8.6,55,0,1,1,1,255,low
292,6.5,38,1,0,1,0,255,medium
209,6.7,45,1,1,0,0,247,medium
439,6.8,40,1,0,1,0,245,medium
467,5.6,50,0,1,1,1,255,low
284,4.5,60,0,1,1,1,250,low
543,9.5,34,1,1,0,1,255,low
890,6.5,50,1,0,1,0,246,low
778,6.8,40,1,0,1,0,245,medium
994,6.5,38,1,1,1,1,255,high
298,6.8,41,0,0,0,0,255,medium
619,6.5,36,0,0,0,0,247,medium
775,4.7,38,1,0,1,0,255,low
923,6.5,38,1,1,1,1,255,high
346,9.0,43,1,0,1,1,250,low
607,6.7,41,1,0,0,0,247,medium
116,6.6,38,1,0,1,0,255,high
25,6.5,36,0,1,1,0,253,high
342,6.8,45,0,0,1,0,255,medium
722,4.7,38,1,0,1,0,255,low
422,6.7,45,1,1,0,0,247,medium
559,9.0,43,1,0,1,1,250,low
746,6.5,38,1,1,1,1,255,high
375,6.6,43,1,0,1,1,250,high
674,8.6,55,0,1,1,1,255,low
737,7.4,90,1,0,1,1,255,low
967,6.5,40,1,0,0,0,250,medium
634,6.8,45,0,1,1,1,255,high
487,6.5,55,1,0,1,0,246,low
360,6.8,36,0,1,1,0,253,high
564,6.8,45,1,1,1,1,245,high
972,6.8,43,1,0,1,0,250,high
286,6.7,45,1,1,0,0,247,medium
55,6.7,45,1,1,1,0,245,medium
869,6.5,37,0,0,0,0,255,medium
446,8.5,70,0,0,0,0,246,low
984,6.8,45,1,1,1,1,245,high
440,6.6,45,0,0,0,1,250,medium
731,4.5,60,0,1,1,1,250,low
95,6.5,37,0,0,0,0,255,medium
276,6.6,50,0,0,0,0,255,low
747,6.8,38,0,0,0,0,255,medium
1001,6.8,45,0,1,1,1,255,high
875,6.7,38,1,0,1,0,255,high
345,3.0,40,1,1,1,1,255,low
860,6.8,45,1,1,1,0,245,high
651,7.4,65,0,0,0,0,255,low
1039,6.6,50,0,0,0,0,255,low
389,3.0,40,1,1,1,1,255,low
914,6.7,45,1,1,1,0,245,medium
977,4.7,38,1,0,1,0,255,low
838,6.8,40,1,0,1,0,245,medium
61,6.7,38,1,0,1,0,255,high
798,4.7,38,1,0,1,0,255,low
632,8.6,55,0,1,1,1,255,low
314,6.7,45,1,1,0,0,247,medium
748,3.0,40,1,0,0,0,255,low
130,4.5,38,0,1,1,1,255,low
842,6.8,45,1,1,1,1,245,high
231,6.5,35,1,0,1,0,246,medium
584,6.6,38,0,0,0,0,255,medium
94,9.5,34,1,1,0,1,255,low
524,6.6,35,0,1,1,1,255,high
534,6.5,38,1,1,1,1,255,high
957,6.8,41,1,1,1,0,255,high
852,6.5,38,1,1,1,1,255,high
112,8.6,55,0,1,1,1,255,low
538,6.8,40,1,1,1,1,255,high
496,6.8,36,0,1,1,0,253,high
473,3.0,40,1,1,1,1,255,low
954,6.6,37,1,0,1,0,255,high
196,8.6,55,0,1,1,1,255,low
304,6.6,45,0,0,0,1,250,medium
917,6.7,41,1,0,0,0,247,medium
76,6.5,35,1,0,1,0,246,medium
68,4.7,38,1,0,1,0,255,low
971,3.0,40,1,1,1,1,255,low
567,8.5,70,0,0,0,0,246,low
155,5.5,45,1,0,1,1,250,low
477,6.8,45,0,1,1,1,255,high
546,5.5,45,1,0,1,1,250,low
501,6.8,45,0,1,0,0,240,medium
261,6.8,36,0,1,1,0,253,high
145,6.8,40,1,1,1,1,255,high
657,9.0,43,1,0,1,1,250,low
397,6.8,36,0,1,1,0,253,high
692,6.8,45,1,1,1,1,245,high
370,3.0,40,1,0,0,0,255,low
1057,6.8,43,1,0,1,0,250,high
93,6.8,45,1,1,1,0,245,high
364,6.6,37,1,0,1,0,255,high
635,6.5,38,1,0,0,0,255,medium
39,6.5,38,1,1,1,1,255,high
666,6.5,37,0,0,0,0,255,medium
274,6.6,50,0,0,0,1,250,low
127,6.8,40,1,0,1,0,245,medium
777,9.0,43,1,0,1,1,250,low
259,6.8,45,1,1,1,1,245,high
457,9.5,34,1,1,0,1,255,low
794,8.6,55,0,1,1,1,255,low
395,6.8,45,1,1,1,1,245,high
828,3.0,40,1,1,1,1,255,low
513,9.5,34,1,1,0,1,255,low
336,8.1,66,1,0,1,1,255,low
134,8.5,70,0,0,0,0,246,low
172,6.8,38,0,0,0,0,255,medium
1024,6.8,36,0,1,1,0,253,high
910,5.5,45,1,0,1,1,250,low
484,6.5,36,0,0,1,0,255,medium
554,6.8,55,0,0,0,1,255,low
377,6.8,45,0,0,0,1,255,medium
133,6.8,36,0,1,1,0,253,high
115,6.5,38,1,0,0,0,255,medium
810,6.5,37,0,0,0,0,245,medium
349,6.8,45,0,1,1,1,255,high
180,9.5,34,1,1,0,1,255,low
238,7.4,65,0,0,0,0,255,low
873,8.1,66,1,0,1,1,255,low
23,6.6,45,1,1,1,1,245,high
1031,6.8,41,0,0,1,0,255,medium
500,6.6,37,1,0,1,0,255,high
792,3.0,40,1,1,1,1,255,low
208,8.1,66,1,0,1,1,255,low
307,6.8,45,1,1,1,0,245,high
13,7.4,90,1,0,1,1,255,low
356,6.5,36,0,0,1,0,255,medium
302,9.0,43,1,1,1,1,248,low
237,6.8,45,0,1,0,0,240,medium
868,9.5,34,1,1,0,1,255,low
84,6.8,41,0,0,1,0,255,medium
404,6.8,41,0,0,1,0,255,medium
859,6.6,50,0,0,0,0,255,low
1028,6.6,37,1,0,1,0,255,high
263,6.8,40,1,0,1,0,245,medium
290,7.4,90,1,0,1,1,255,low
18,9.0,43,1,0,1,1,250,low
687,9.0,43,1,0,1,1,250,low
888,4.5,38,0,1,1,1,255,low
348,6.8,45,0,0,0,1,255,medium
391,6.8,40,1,0,1,0,245,medium
819,6.5,38,1,0,1,0,255,medium
861,6.6,40,1,0,0,0,255,medium
514,6.5,37,0,0,0,0,255,medium
1047,6.8,45,1,1,1,0,245,high
109,6.7,38,1,0,1,0,255,high
287,6.7,45,1,1,1,0,245,medium
